36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
01:32:17.0 (458120)|USER_INFO|[EXTERNAL]|0050o00000WkyGG|ttvy@keizu.co.jp|Pacific Standard Time|GMT-07:00
01:32:17.0 (488142)|EXECUTION_STARTED
01:32:17.0 (493375)|CODE_UNIT_STARTED|[EXTERNAL]|0660o000008sbCc|VF: /apex/AddNewStudent
01:32:17.5 (5641791)|SYSTEM_MODE_ENTER|true
01:32:17.6 (6181610)|SYSTEM_MODE_ENTER|true
01:32:17.6 (6260911)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
01:32:17.6 (6274226)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
01:32:17.6 (6310434)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x85bae91
01:32:17.6 (6318014)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
01:32:17.6 (6326260)|VARIABLE_ASSIGNMENT|[88]|escape|null
01:32:17.6 (6486596)|SYSTEM_MODE_ENTER|true
01:32:17.6 (6533695)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
01:32:17.6 (6541428)|VARIABLE_SCOPE_BEGIN|[2]|this|ApexPage.PageMessagesComponentController|true|false
01:32:17.6 (6562013)|VARIABLE_ASSIGNMENT|[2]|this|{}|0x85bae91
01:32:17.0 (10906176)|SYSTEM_MODE_ENTER|true
01:32:17.0 (11164673)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
01:32:17.0 (11175429)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:260
01:32:17.0 (11183018)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:55
01:32:17.0 (11194794)|METHOD_ENTRY|[1]|01p0o00000GLKhZ|Controller.Controller()
01:32:17.0 (11200882)|STATEMENT_EXECUTE|[1]
01:32:17.0 (11205797)|STATEMENT_EXECUTE|[1]
01:32:17.0 (11214293)|SYSTEM_MODE_ENTER|false
01:32:17.0 (11225706)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
01:32:17.0 (11230921)|STATEMENT_EXECUTE|[16]
01:32:17.0 (11232669)|STATEMENT_EXECUTE|[32]
01:32:17.0 (11237278)|SYSTEM_MODE_EXIT|false
01:32:17.0 (11248153)|METHOD_EXIT|[1]|Controller
01:32:17.0 (11603698)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
01:32:17.0 (11614325)|VARIABLE_SCOPE_BEGIN|[11]|this|Controller|true|false
01:32:17.0 (11668450)|VARIABLE_ASSIGNMENT|[11]|this|{}|0x3a3df4e1
01:32:17.0 (11683351)|SYSTEM_MODE_ENTER|false
01:32:17.0 (11690726)|HEAP_ALLOCATE|[12]|Bytes:5
01:32:17.0 (11695818)|STATEMENT_EXECUTE|[1]
01:32:17.0 (11699089)|HEAP_ALLOCATE|[12]|Bytes:5
01:32:17.0 (11701895)|STATEMENT_EXECUTE|[2]
01:32:17.0 (11703756)|STATEMENT_EXECUTE|[3]
01:32:17.0 (11705270)|STATEMENT_EXECUTE|[4]
01:32:17.0 (11706801)|STATEMENT_EXECUTE|[5]
01:32:17.0 (11708278)|STATEMENT_EXECUTE|[6]
01:32:17.0 (11709793)|STATEMENT_EXECUTE|[7]
01:32:17.0 (11711237)|STATEMENT_EXECUTE|[8]
01:32:17.0 (11712683)|STATEMENT_EXECUTE|[9]
01:32:17.0 (11735060)|STATEMENT_EXECUTE|[11]
01:32:17.0 (11736942)|STATEMENT_EXECUTE|[12]
01:32:17.0 (11769763)|HEAP_ALLOCATE|[12]|Bytes:4
01:32:17.0 (11935383)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x3a3df4e1
01:32:17.0 (11950766)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{}|0x54534fcc
01:32:17.0 (11966614)|VARIABLE_ASSIGNMENT|[9]|this.student|{}|0x3a3df4e1
01:32:17.0 (11978154)|STATEMENT_EXECUTE|[13]
01:32:17.0 (11983666)|HEAP_ALLOCATE|[13]|Bytes:184
01:32:17.0 (11989949)|HEAP_ALLOCATE|[13]|Bytes:17
01:32:17.0 (12001625)|HEAP_ALLOCATE|[13]|Bytes:24
01:32:17.0 (12015801)|CONSTRUCTOR_ENTRY|[13]|01p0o00000GLKhZ|<init>()|Controller.KeySearchDTO
