36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
01:49:16.0 (492699)|USER_INFO|[EXTERNAL]|0050o00000WkyGG|ttvy@keizu.co.jp|Pacific Standard Time|GMT-07:00
01:49:16.0 (542503)|EXECUTION_STARTED
01:49:16.0 (548501)|CODE_UNIT_STARTED|[EXTERNAL]|0660o000008sEYc|VF: /apex/MainPage
01:49:16.0 (1160473)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660o000008sEYc
01:49:16.0 (8068686)|HEAP_ALLOCATE|[72]|Bytes:3
01:49:16.0 (8128326)|HEAP_ALLOCATE|[77]|Bytes:152
01:49:16.0 (8140807)|HEAP_ALLOCATE|[342]|Bytes:408
01:49:16.0 (8152256)|HEAP_ALLOCATE|[355]|Bytes:408
01:49:16.0 (8163434)|HEAP_ALLOCATE|[467]|Bytes:48
01:49:16.0 (8187412)|HEAP_ALLOCATE|[139]|Bytes:6
01:49:16.0 (8225701)|HEAP_ALLOCATE|[50]|Bytes:5
01:49:16.0 (8242379)|HEAP_ALLOCATE|[56]|Bytes:5
01:49:16.0 (8250879)|HEAP_ALLOCATE|[64]|Bytes:7
01:49:16.0 (11326900)|VF_DESERIALIZE_VIEWSTATE_END
01:49:16.0 (12027957)|SYSTEM_MODE_ENTER|true
01:49:16.0 (12064006)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:19
01:49:16.0 (12076650)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:280
01:49:16.0 (12081634)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:59
01:49:16.0 (12085589)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
01:49:16.0 (12096732)|METHOD_ENTRY|[1]|01p0o00000GLKhZ|Controller.Controller()
01:49:16.0 (12103017)|STATEMENT_EXECUTE|[1]
01:49:16.0 (12108949)|STATEMENT_EXECUTE|[1]
01:49:16.0 (12117247)|SYSTEM_MODE_ENTER|false
01:49:16.0 (12128176)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
01:49:16.0 (12133134)|STATEMENT_EXECUTE|[17]
01:49:16.0 (12135050)|STATEMENT_EXECUTE|[33]
01:49:16.0 (12139064)|SYSTEM_MODE_EXIT|false
01:49:16.0 (12170919)|METHOD_EXIT|[1]|Controller
01:49:16.0 (12227522)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:188
01:49:16.0 (12234542)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
01:49:16.15 (15910302)|SYSTEM_MODE_ENTER|true
01:49:16.15 (15992832)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
01:49:16.15 (16005592)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
01:49:16.16 (16782208)|SYSTEM_MODE_ENTER|true
01:49:16.16 (16846007)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
01:49:16.16 (16854563)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
