36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
01:49:06.0 (538296)|USER_INFO|[EXTERNAL]|0050o00000WkyGG|ttvy@keizu.co.jp|Pacific Standard Time|GMT-07:00
01:49:06.0 (610179)|EXECUTION_STARTED
01:49:06.0 (630112)|CODE_UNIT_STARTED|[EXTERNAL]|0660o000008sbCc|VF: /apex/AddNewStudent
01:49:06.0 (1290896)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660o000008sbCc
01:49:06.0 (10024828)|HEAP_ALLOCATE|[72]|Bytes:3
01:49:06.0 (10091589)|HEAP_ALLOCATE|[77]|Bytes:152
01:49:06.0 (10111130)|HEAP_ALLOCATE|[342]|Bytes:408
01:49:06.0 (10132718)|HEAP_ALLOCATE|[355]|Bytes:408
01:49:06.0 (10152080)|HEAP_ALLOCATE|[467]|Bytes:48
01:49:06.0 (10188048)|HEAP_ALLOCATE|[139]|Bytes:6
01:49:06.0 (10261993)|HEAP_ALLOCATE|[50]|Bytes:5
01:49:06.0 (10289137)|HEAP_ALLOCATE|[56]|Bytes:5
01:49:06.0 (10310547)|HEAP_ALLOCATE|[64]|Bytes:7
01:49:06.0 (14317207)|VF_DESERIALIZE_VIEWSTATE_END
01:49:06.15 (15152948)|SYSTEM_MODE_ENTER|true
01:49:06.15 (15289726)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
01:49:06.15 (15316341)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
01:49:06.16 (16437041)|SYSTEM_MODE_ENTER|true
01:49:06.16 (16537214)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
01:49:06.16 (16549996)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
01:49:06.16 (16620389)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x4c918713
01:49:06.16 (16630016)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
01:49:06.16 (16639417)|VARIABLE_ASSIGNMENT|[88]|escape|null
01:49:06.0 (16903296)|SYSTEM_MODE_ENTER|true
01:49:06.0 (16926096)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:19
01:49:06.0 (16935106)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:280
01:49:06.0 (16939437)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:48
01:49:06.0 (16943346)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
01:49:06.0 (16952072)|METHOD_ENTRY|[1]|01p0o00000GLKhZ|Controller.Controller()
01:49:06.0 (16958576)|STATEMENT_EXECUTE|[1]
01:49:06.0 (16973356)|STATEMENT_EXECUTE|[1]
01:49:06.0 (16980944)|SYSTEM_MODE_ENTER|false
01:49:06.0 (16987884)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
01:49:06.0 (16993339)|STATEMENT_EXECUTE|[23]
01:49:06.0 (16995618)|STATEMENT_EXECUTE|[42]
01:49:06.0 (17001989)|SYSTEM_MODE_EXIT|false
01:49:06.0 (17010369)|METHOD_EXIT|[1]|Controller
01:49:06.0 (22045621)|SYSTEM_MODE_ENTER|true
01:49:06.0 (22341634)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:40
01:49:06.0 (22356725)|VARIABLE_SCOPE_BEGIN|[61]|this|Controller|true|false
01:49:06.0 (22449773)|VARIABLE_ASSIGNMENT|[61]|this|{"objKeySearch":"0x2796be55","student":"0x12ce9410","userselectSecondpage":"Math"}|0x2823a3cc
01:49:06.0 (22477329)|SYSTEM_MODE_ENTER|false
01:49:06.0 (22486011)|HEAP_ALLOCATE|[62]|Bytes:5
01:49:06.0 (22495377)|STATEMENT_EXECUTE|[61]
01:49:06.0 (22497520)|STATEMENT_EXECUTE|[62]
01:49:06.0 (22509141)|HEAP_ALLOCATE|[62]|Bytes:4
01:49:06.0 (22564008)|VARIABLE_SCOPE_BEGIN|[62]|options|List<System.SelectOption>|true|false
01:49:06.0 (22594089)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:49:06.0 (22605764)|VARIABLE_ASSIGNMENT|[62]|options|[]|0x2bfc108b
01:49:06.0 (22612472)|STATEMENT_EXECUTE|[63]
01:49:06.0 (22616142)|HEAP_ALLOCATE|[63]|Bytes:33
01:49:06.0 (22632942)|HEAP_ALLOCATE|[63]|Bytes:4
01:49:06.0 (23017058)|SOQL_EXECUTE_BEGIN|[63]|Aggregations:0|SELECT className__C FROM Class__c
01:49:06.0 (25755359)|SOQL_EXECUTE_END|[63]|Rows:2
01:49:06.0 (25792437)|HEAP_ALLOCATE|[63]|Bytes:12
01:49:06.0 (25812942)|HEAP_ALLOCATE|[63]|Bytes:101
01:49:06.0 (25879582)|HEAP_ALLOCATE|[63]|Bytes:12
01:49:06.0 (25897300)|VARIABLE_SCOPE_BEGIN|[63]|data|List<Class__c>|true|false
01:49:06.0 (25935866)|VARIABLE_ASSIGNMENT|[63]|data|[{"className__c":"Math","Id":"a0H0o00000fJQOvEAO"},{"className__c":"English","Id":"a0H0o00000fJQOwEAO"}]|0x5df6427b
01:49:06.0 (26146074)|HEAP_ALLOCATE|[64]|Bytes:5
01:49:06.0 (26169990)|HEAP_ALLOCATE|[64]|Bytes:12
01:49:06.0 (26180153)|VARIABLE_SCOPE_BEGIN|[64]|c|Class__c|true|false
01:49:06.0 (26197451)|VARIABLE_ASSIGNMENT|[64]|c|{"className__c":"Math","Id":"a0H0o00000fJQOvEAO"}|0x5e3128a8
01:49:06.0 (26204356)|STATEMENT_EXECUTE|[64]
01:49:06.0 (26206287)|STATEMENT_EXECUTE|[65]
01:49:06.0 (26213627)|HEAP_ALLOCATE|[65]|Bytes:12
01:49:06.0 (26313105)|HEAP_ALLOCATE|[65]|Bytes:4
01:49:06.0 (26355068)|HEAP_ALLOCATE|[65]|Bytes:4
01:49:06.0 (26400676)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:49:06.0 (26417721)|HEAP_ALLOCATE|[64]|Bytes:5
01:49:06.0 (26430052)|HEAP_ALLOCATE|[64]|Bytes:12
01:49:06.0 (26437418)|VARIABLE_SCOPE_BEGIN|[64]|c|Class__c|true|false
01:49:06.0 (26454922)|VARIABLE_ASSIGNMENT|[64]|c|{"className__c":"English","Id":"a0H0o00000fJQOwEAO"}|0x16be0f7b
01:49:06.0 (26461208)|STATEMENT_EXECUTE|[64]
