36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
02:28:24.0 (535560)|USER_INFO|[EXTERNAL]|0050o00000WkyGG|ttvy@keizu.co.jp|Pacific Standard Time|GMT-07:00
02:28:24.0 (584528)|EXECUTION_STARTED
02:28:24.0 (590549)|CODE_UNIT_STARTED|[EXTERNAL]|0660o000008sEYc|VF: /apex/MainPage
02:28:24.0 (1372323)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660o000008sEYc
02:28:24.0 (9501335)|VF_DESERIALIZE_VIEWSTATE_END
02:28:24.0 (10789519)|SYSTEM_MODE_ENTER|true
02:28:24.0 (10883679)|HEAP_ALLOCATE|[72]|Bytes:3
02:28:24.0 (10927383)|HEAP_ALLOCATE|[77]|Bytes:152
02:28:24.0 (10940609)|HEAP_ALLOCATE|[342]|Bytes:408
02:28:24.0 (10952377)|HEAP_ALLOCATE|[355]|Bytes:408
02:28:24.0 (10962836)|HEAP_ALLOCATE|[467]|Bytes:48
02:28:24.0 (10993148)|HEAP_ALLOCATE|[139]|Bytes:6
02:28:24.0 (11014077)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:136
02:28:24.0 (11021201)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
02:28:24.0 (11030023)|METHOD_ENTRY|[1]|01p0o00000GLKhZ|Controller.Controller()
02:28:24.0 (11036804)|STATEMENT_EXECUTE|[1]
02:28:24.0 (11041658)|STATEMENT_EXECUTE|[1]
02:28:24.0 (11067245)|HEAP_ALLOCATE|[50]|Bytes:5
02:28:24.0 (11087489)|HEAP_ALLOCATE|[56]|Bytes:5
02:28:24.0 (11095598)|HEAP_ALLOCATE|[64]|Bytes:7
02:28:24.0 (11110081)|SYSTEM_MODE_ENTER|false
02:28:24.0 (11121615)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
02:28:24.0 (11129929)|SYSTEM_MODE_EXIT|false
02:28:24.0 (11137714)|METHOD_EXIT|[1]|Controller
02:28:24.0 (11280313)|SYSTEM_MODE_ENTER|true
02:28:24.0 (11585206)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
02:28:24.0 (11606953)|VARIABLE_SCOPE_BEGIN|[6]|this|Controller|true|false
02:28:24.0 (11681137)|VARIABLE_ASSIGNMENT|[6]|this|{}|0x392b29ad
02:28:24.0 (11708771)|SYSTEM_MODE_ENTER|false
02:28:24.0 (11720622)|HEAP_ALLOCATE|[7]|Bytes:5
02:28:24.0 (11728930)|STATEMENT_EXECUTE|[6]
02:28:24.0 (11731484)|STATEMENT_EXECUTE|[7]
02:28:24.0 (11748117)|HEAP_ALLOCATE|[7]|Bytes:4
02:28:24.0 (11803637)|VARIABLE_SCOPE_BEGIN|[7]|options|List<System.SelectOption>|true|false
02:28:24.0 (11855941)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
02:28:24.0 (11873623)|VARIABLE_ASSIGNMENT|[7]|options|[]|0x5284aac1
02:28:24.0 (11882543)|STATEMENT_EXECUTE|[8]
02:28:24.0 (11887615)|HEAP_ALLOCATE|[8]|Bytes:33
02:28:24.0 (11919001)|HEAP_ALLOCATE|[8]|Bytes:4
02:28:24.0 (13384889)|SOQL_EXECUTE_BEGIN|[8]|Aggregations:0|SELECT className__C FROM Class__c
02:28:24.0 (16203638)|SOQL_EXECUTE_END|[8]|Rows:4
02:28:24.0 (16234017)|HEAP_ALLOCATE|[8]|Bytes:20
02:28:24.0 (16257782)|HEAP_ALLOCATE|[8]|Bytes:193
02:28:24.0 (16340281)|HEAP_ALLOCATE|[8]|Bytes:20
02:28:24.0 (16359212)|VARIABLE_SCOPE_BEGIN|[8]|data|List<Class__c>|true|false
02:28:24.0 (16399034)|VARIABLE_ASSIGNMENT|[8]|data|[{"className__c":"Name","Id":"a0H0o00000fIXZEEA4"},{"className__c":"L02","Id":"a0H0o00000fIXflEAG"},{"className__c":"L01","Id":"a0H0o00000fIXZYEA4"},{"className__c":"L03","Id":"a0H0o00000fIXg0EAG"}]|0x2bbd8c8
02:28:24.0 (16645774)|HEAP_ALLOCATE|[9]|Bytes:5
02:28:24.0 (16670465)|HEAP_ALLOCATE|[9]|Bytes:12
02:28:24.0 (16679681)|VARIABLE_SCOPE_BEGIN|[9]|c|Class__c|true|false
02:28:24.0 (16696928)|VARIABLE_ASSIGNMENT|[9]|c|{"className__c":"Name","Id":"a0H0o00000fIXZEEA4"}|0x195aea0b
02:28:24.0 (16704227)|STATEMENT_EXECUTE|[9]
02:28:24.0 (16706257)|STATEMENT_EXECUTE|[10]
02:28:24.0 (16715738)|HEAP_ALLOCATE|[10]|Bytes:12
02:28:24.0 (16799980)|HEAP_ALLOCATE|[10]|Bytes:4
02:28:24.0 (16831324)|HEAP_ALLOCATE|[10]|Bytes:4
