36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
00:07:16.0 (104328)|USER_INFO|[EXTERNAL]|0050o00000WkyGG|ttvy@keizu.co.jp|Pacific Standard Time|GMT-07:00
00:07:16.0 (137116)|EXECUTION_STARTED
00:07:16.0 (144205)|CODE_UNIT_STARTED|[EXTERNAL]|0660o000008sbCc|VF: /apex/AddNewStudent
00:07:16.2 (2304019)|SYSTEM_MODE_ENTER|true
00:07:16.2 (2802890)|SYSTEM_MODE_ENTER|true
00:07:16.2 (2889728)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
00:07:16.2 (2907283)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
00:07:16.2 (2963985)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x1f9b122d
00:07:16.2 (2971439)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
00:07:16.2 (2979152)|VARIABLE_ASSIGNMENT|[88]|escape|null
00:07:16.3 (3160989)|SYSTEM_MODE_ENTER|true
00:07:16.3 (3207248)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
00:07:16.3 (3215267)|VARIABLE_SCOPE_BEGIN|[2]|this|ApexPage.PageMessagesComponentController|true|false
00:07:16.3 (3237389)|VARIABLE_ASSIGNMENT|[2]|this|{}|0x1f9b122d
00:07:16.0 (4215710)|SYSTEM_MODE_ENTER|true
00:07:16.0 (4466646)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:19
00:07:16.0 (4476615)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:376
00:07:16.0 (4480863)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:63
00:07:16.0 (4484315)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
00:07:16.0 (4494500)|METHOD_ENTRY|[1]|01p0o00000GLKhZ|Controller.Controller()
00:07:16.0 (4500130)|STATEMENT_EXECUTE|[1]
00:07:16.0 (4504649)|STATEMENT_EXECUTE|[1]
00:07:16.0 (4511859)|SYSTEM_MODE_ENTER|false
00:07:16.0 (4520686)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
00:07:16.0 (4529881)|STATEMENT_EXECUTE|[18]
00:07:16.0 (4531740)|STATEMENT_EXECUTE|[37]
00:07:16.0 (4537432)|SYSTEM_MODE_EXIT|false
00:07:16.0 (4545474)|METHOD_EXIT|[1]|Controller
00:07:16.0 (5083156)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
00:07:16.0 (5098495)|VARIABLE_SCOPE_BEGIN|[1]|this|Controller|true|false
00:07:16.0 (5171496)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x5a0aa617
00:07:16.0 (5184626)|SYSTEM_MODE_ENTER|false
00:07:16.0 (5192043)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
00:07:16.0 (5211966)|SYSTEM_MODE_EXIT|false
00:07:16.0 (5217369)|STATEMENT_EXECUTE|[1]
00:07:16.0 (5220867)|SYSTEM_MODE_ENTER|false
