36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
01:32:11.0 (384013)|USER_INFO|[EXTERNAL]|0050o00000WkyGG|ttvy@keizu.co.jp|Pacific Standard Time|GMT-07:00
01:32:11.0 (423309)|EXECUTION_STARTED
01:32:11.0 (428301)|CODE_UNIT_STARTED|[EXTERNAL]|0660o000008sEYc|VF: /apex/MainPage
01:32:11.0 (1001809)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660o000008sEYc
01:32:11.0 (6687500)|HEAP_ALLOCATE|[72]|Bytes:3
01:32:11.0 (6728030)|HEAP_ALLOCATE|[77]|Bytes:152
01:32:11.0 (6742702)|HEAP_ALLOCATE|[342]|Bytes:408
01:32:11.0 (6756157)|HEAP_ALLOCATE|[355]|Bytes:408
01:32:11.0 (6768636)|HEAP_ALLOCATE|[467]|Bytes:48
01:32:11.0 (6796161)|HEAP_ALLOCATE|[139]|Bytes:6
01:32:11.0 (10751377)|VF_DESERIALIZE_VIEWSTATE_END
01:32:11.0 (12112141)|SYSTEM_MODE_ENTER|true
01:32:11.0 (12148523)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:136
01:32:11.0 (12160646)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
01:32:11.0 (12175146)|METHOD_ENTRY|[1]|01p0o00000GLKhZ|Controller.Controller()
01:32:11.0 (12181664)|STATEMENT_EXECUTE|[1]
01:32:11.0 (12187617)|STATEMENT_EXECUTE|[1]
01:32:11.0 (12222278)|HEAP_ALLOCATE|[50]|Bytes:5
01:32:11.0 (12251937)|HEAP_ALLOCATE|[56]|Bytes:5
01:32:11.0 (12261620)|HEAP_ALLOCATE|[64]|Bytes:7
01:32:11.0 (12282307)|SYSTEM_MODE_ENTER|false
01:32:11.0 (12293563)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
01:32:11.0 (12300646)|SYSTEM_MODE_EXIT|false
01:32:11.0 (12309142)|METHOD_EXIT|[1]|Controller
01:32:11.0 (12455916)|SYSTEM_MODE_ENTER|true
01:32:11.0 (12761341)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
01:32:11.0 (12774940)|VARIABLE_SCOPE_BEGIN|[6]|this|Controller|true|false
01:32:11.0 (12830966)|VARIABLE_ASSIGNMENT|[6]|this|{"studentList":"0x49d7618","userinput":"v","userselect":"L02"}|0x4d448390
01:32:11.0 (12847734)|SYSTEM_MODE_ENTER|false
01:32:11.0 (12855553)|HEAP_ALLOCATE|[7]|Bytes:5
01:32:11.0 (12861684)|STATEMENT_EXECUTE|[6]
01:32:11.0 (12863933)|STATEMENT_EXECUTE|[7]
01:32:11.0 (12877689)|HEAP_ALLOCATE|[7]|Bytes:4
01:32:11.0 (12920707)|VARIABLE_SCOPE_BEGIN|[7]|options|List<System.SelectOption>|true|false
01:32:11.0 (12947800)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:32:11.0 (12959323)|VARIABLE_ASSIGNMENT|[7]|options|[]|0x6dac3d18
01:32:11.0 (12965290)|STATEMENT_EXECUTE|[8]
01:32:11.0 (12972873)|HEAP_ALLOCATE|[8]|Bytes:33
01:32:11.0 (12993694)|HEAP_ALLOCATE|[8]|Bytes:4
01:32:11.0 (14278589)|SOQL_EXECUTE_BEGIN|[8]|Aggregations:0|SELECT className__C FROM Class__c
01:32:11.0 (17137629)|SOQL_EXECUTE_END|[8]|Rows:4
01:32:11.0 (17172443)|HEAP_ALLOCATE|[8]|Bytes:20
01:32:11.0 (17199928)|HEAP_ALLOCATE|[8]|Bytes:193
01:32:11.0 (17274554)|HEAP_ALLOCATE|[8]|Bytes:20
01:32:11.0 (17295338)|VARIABLE_SCOPE_BEGIN|[8]|data|List<Class__c>|true|false
01:32:11.0 (17335098)|VARIABLE_ASSIGNMENT|[8]|data|[{"className__c":"Name","Id":"a0H0o00000fIXZEEA4"},{"className__c":"L02","Id":"a0H0o00000fIXflEAG"},{"className__c":"L01","Id":"a0H0o00000fIXZYEA4"},{"className__c":"L03","Id":"a0H0o00000fIXg0EAG"}]|0x73bddb86
01:32:11.0 (17583360)|HEAP_ALLOCATE|[9]|Bytes:5
01:32:11.0 (17635316)|HEAP_ALLOCATE|[9]|Bytes:12
01:32:11.0 (17644494)|VARIABLE_SCOPE_BEGIN|[9]|c|Class__c|true|false
01:32:11.0 (17661564)|VARIABLE_ASSIGNMENT|[9]|c|{"className__c":"Name","Id":"a0H0o00000fIXZEEA4"}|0x7c8a7
01:32:11.0 (17669626)|STATEMENT_EXECUTE|[9]
01:32:11.0 (17672327)|STATEMENT_EXECUTE|[10]
01:32:11.0 (17682291)|HEAP_ALLOCATE|[10]|Bytes:12
01:32:11.0 (17768927)|HEAP_ALLOCATE|[10]|Bytes:4
01:32:11.0 (17804347)|HEAP_ALLOCATE|[10]|Bytes:4
01:32:11.0 (17851365)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:32:11.0 (17868601)|HEAP_ALLOCATE|[9]|Bytes:5
01:32:11.0 (17881097)|HEAP_ALLOCATE|[9]|Bytes:12
01:32:11.0 (17887829)|VARIABLE_SCOPE_BEGIN|[9]|c|Class__c|true|false
01:32:11.0 (17903797)|VARIABLE_ASSIGNMENT|[9]|c|{"className__c":"L02","Id":"a0H0o00000fIXflEAG"}|0x4beea9bb
01:32:11.0 (17910810)|STATEMENT_EXECUTE|[9]
01:32:11.0 (17912809)|STATEMENT_EXECUTE|[10]
01:32:11.0 (17942645)|HEAP_ALLOCATE|[10]|Bytes:3
01:32:11.0 (17973538)|HEAP_ALLOCATE|[10]|Bytes:3
01:32:11.0 (17991090)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:32:11.0 (18004561)|HEAP_ALLOCATE|[9]|Bytes:5
01:32:11.0 (18021777)|HEAP_ALLOCATE|[9]|Bytes:12
01:32:11.0 (18027980)|VARIABLE_SCOPE_BEGIN|[9]|c|Class__c|true|false
01:32:11.0 (18043171)|VARIABLE_ASSIGNMENT|[9]|c|{"className__c":"L01","Id":"a0H0o00000fIXZYEA4"}|0x43563142
01:32:11.0 (18048925)|STATEMENT_EXECUTE|[9]
01:32:11.0 (18050807)|STATEMENT_EXECUTE|[10]
01:32:11.0 (18077352)|HEAP_ALLOCATE|[10]|Bytes:3
01:32:11.0 (18101599)|HEAP_ALLOCATE|[10]|Bytes:3
01:32:11.0 (18118013)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:32:11.0 (18130823)|HEAP_ALLOCATE|[9]|Bytes:5
01:32:11.0 (18140378)|HEAP_ALLOCATE|[9]|Bytes:12
01:32:11.0 (18145838)|VARIABLE_SCOPE_BEGIN|[9]|c|Class__c|true|false
01:32:11.0 (18160379)|VARIABLE_ASSIGNMENT|[9]|c|{"className__c":"L03","Id":"a0H0o00000fIXg0EAG"}|0x331899bc
01:32:11.0 (18166149)|STATEMENT_EXECUTE|[9]
01:32:11.0 (18168034)|STATEMENT_EXECUTE|[10]
01:32:11.0 (18191576)|HEAP_ALLOCATE|[10]|Bytes:3
01:32:11.0 (18214583)|HEAP_ALLOCATE|[10]|Bytes:3
01:32:11.0 (18230951)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:32:11.0 (18243184)|HEAP_ALLOCATE|[9]|Bytes:5
01:32:11.0 (18254626)|VARIABLE_ASSIGNMENT|[9]|c|null|
01:32:11.0 (18260083)|STATEMENT_EXECUTE|[13]
01:32:11.0 (18265062)|SYSTEM_MODE_EXIT|false
01:32:11.0 (18429936)|SYSTEM_MODE_ENTER|true
01:32:11.0 (18625283)|SYSTEM_MODE_ENTER|true
01:32:11.0 (18651520)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
01:32:11.0 (18657644)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
01:32:11.0 (18671218)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.userinput|"v"|0x4d448390
01:32:11.0 (18709301)|SYSTEM_MODE_ENTER|true
01:32:11.0 (18724340)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
01:32:11.0 (18729079)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
01:32:11.0 (18737240)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.userselect|"L01"|0x4d448390
01:32:11.0 (18908654)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
01:32:11.0 (18921245)|VARIABLE_SCOPE_BEGIN|[32]|this|Controller|true|false
01:32:11.0 (18954246)|VARIABLE_ASSIGNMENT|[32]|this|{"studentList":"0x49d7618","userinput":"v","userselect":"L01"}|0x4d448390
01:32:11.0 (18968758)|SYSTEM_MODE_ENTER|false
01:32:11.0 (18976453)|HEAP_ALLOCATE|[33]|Bytes:5
01:32:11.0 (18982036)|STATEMENT_EXECUTE|[32]
01:32:11.0 (18984044)|STATEMENT_EXECUTE|[33]
01:32:11.0 (18985624)|STATEMENT_EXECUTE|[33]
01:32:11.0 (19029976)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"studentList":"0x49d7618","userinput":"v","userselect":"L01"}|0x4d448390
01:32:11.0 (19074791)|STATEMENT_EXECUTE|[34]
01:32:11.0 (19077195)|STATEMENT_EXECUTE|[38]
01:32:11.0 (19091820)|METHOD_ENTRY|[38]|01p0o00000GLKhZ|Controller.getStudent()
01:32:11.0 (19109092)|VARIABLE_SCOPE_BEGIN|[15]|this|Controller|true|false
01:32:11.0 (19129868)|VARIABLE_ASSIGNMENT|[15]|this|{"studentList":"0x49d7618","userinput":"v","userselect":"L01"}|0x4d448390
01:32:11.0 (19142472)|HEAP_ALLOCATE|[16]|Bytes:5
01:32:11.0 (19147711)|STATEMENT_EXECUTE|[15]
01:32:11.0 (19149962)|STATEMENT_EXECUTE|[16]
01:32:11.0 (19153013)|HEAP_ALLOCATE|[16]|Bytes:1
01:32:11.0 (19179737)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"studentList":"0x49d7618","userinput":"v","userselect":"L01"}|0x4d448390
